SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
42023,1627759,0042300304,2024-05-27,BOS @ IND,W,44,11,22,0.5,4,8,0.5,3,6,0.5,2,4,6,2,3,1,3,3,29,6,1
42023,1627759,0042300303,2024-05-25,BOS @ IND,W,38,10,18,0.556,1,5,0.2,3,4,0.75,0,2,2,3,1,1,1,3,24,-1,1
42023,1627759,0042300302,2024-05-23,BOS vs. IND,W,37,14,27,0.519,4,10,0.4,8,11,0.727,2,3,5,2,1,0,2,4,40,18,1
42023,1627759,0042300301,2024-05-21,BOS vs. IND,W,44,10,20,0.5,1,4,0.25,5,8,0.625,1,6,7,5,3,1,3,1,26,4,1
42023,1627759,0042300205,2024-05-15,BOS vs. CLE,W,41,4,9,0.444,1,3,0.333,2,4,0.5,0,4,4,7,1,1,3,3,11,14,1
42023,1627759,0042300204,2024-05-13,BOS @ CLE,W,34,9,15,0.6,2,3,0.667,7,9,0.778,1,7,8,1,0,0,5,4,27,3,1
42023,1627759,0042300203,2024-05-11,BOS @ CLE,W,41,13,17,0.765,2,3,0.667,0,2,0.0,2,7,9,3,1,0,2,4,28,18,1
42023,1627759,0042300202,2024-05-09,BOS vs. CLE,L,31,7,17,0.412,0,6,0.0,5,5,1.0,0,4,4,1,0,0,1,2,19,-29,1
42023,1627759,0042300201,2024-05-07,BOS vs. CLE,W,34,12,18,0.667,4,6,0.667,4,4,1.0,1,5,6,2,0,1,1,2,32,9,1
42023,1627759,0042300105,2024-05-01,BOS vs. MIA,W,26,11,19,0.579,1,7,0.143,2,5,0.4,0,6,6,2,0,0,5,2,25,14,1
42023,1627759,0042300104,2024-04-29,BOS @ MIA,W,39,7,18,0.389,1,3,0.333,2,4,0.5,2,3,5,2,2,0,6,3,17,17,1
42023,1627759,0042300103,2024-04-27,BOS @ MIA,W,33,11,20,0.55,0,4,0.0,0,1,0.0,2,6,8,3,2,1,1,2,22,6,1
42023,1627759,0042300102,2024-04-24,BOS vs. MIA,L,37,13,23,0.565,4,9,0.444,3,6,0.5,3,5,8,1,1,1,3,1,33,-22,1
42023,1627759,0042300101,2024-04-21,BOS vs. MIA,W,34,6,12,0.5,3,5,0.6,2,4,0.5,2,6,8,3,0,1,1,1,17,17,1
22023,1627759,0022301167,2024-04-11,BOS vs. NYK,L,29,6,15,0.4,1,5,0.2,2,3,0.667,1,1,2,1,0,2,3,3,15,-29,1
22023,1627759,0022301148,2024-04-09,BOS @ MIL,L,36,7,19,0.368,0,6,0.0,0,0,0.0,4,6,10,3,4,0,5,3,14,-13,1
22023,1627759,0022301134,2024-04-07,BOS vs. POR,W,30,10,17,0.588,3,5,0.6,3,3,1.0,0,4,4,2,1,1,2,2,26,6,1
22023,1627759,0022301105,2024-04-03,BOS vs. OKC,W,33,9,20,0.45,3,9,0.333,2,3,0.667,1,6,7,4,1,2,5,4,23,8,1
22023,1627759,0022301074,2024-03-30,BOS @ NOP,W,35,6,16,0.375,3,4,0.75,2,2,1.0,2,5,7,6,1,1,2,2,17,4,1
22023,1627759,0022301060,2024-03-28,BOS @ ATL,L,39,9,17,0.529,0,3,0.0,0,0,0.0,0,1,1,4,2,2,3,3,18,8,1
22023,1627759,0022301034,2024-03-25,BOS @ ATL,L,37,10,22,0.455,2,7,0.286,2,4,0.5,2,2,4,1,2,0,1,3,24,-2,1
22023,1627759,0022301011,2024-03-22,BOS @ DET,W,33,13,19,0.684,3,8,0.375,4,7,0.571,0,4,4,0,4,0,4,1,33,9,1
22023,1627759,0022300998,2024-03-20,BOS vs. MIL,W,37,6,15,0.4,2,4,0.5,7,10,0.7,4,4,8,2,1,0,1,3,21,-2,1
22023,1627759,0022300984,2024-03-18,BOS vs. DET,W,30,11,20,0.55,3,6,0.5,6,8,0.75,0,7,7,3,1,0,3,2,31,22,1
22023,1627759,0022300955,2024-03-14,BOS vs. PHX,W,33,14,23,0.609,5,9,0.556,4,6,0.667,0,5,5,3,2,0,1,2,37,8,1
22023,1627759,0022300938,2024-03-11,BOS @ POR,W,33,13,29,0.448,1,8,0.125,0,0,0.0,3,3,6,5,1,0,0,3,27,10,1
22023,1627759,0022300920,2024-03-09,BOS @ PHX,W,34,10,21,0.476,3,7,0.429,4,7,0.571,1,2,3,3,2,0,2,1,27,6,1
22023,1627759,0022300906,2024-03-07,BOS @ DEN,L,41,16,29,0.552,2,7,0.286,7,14,0.5,6,8,14,4,2,0,2,4,41,5,1
22023,1627759,0022300886,2024-03-05,BOS @ CLE,L,37,8,20,0.4,3,7,0.429,2,2,1.0,2,1,3,4,0,0,1,3,21,9,1
22023,1627759,0022300872,2024-03-03,BOS vs. GSW,W,22,11,19,0.579,5,10,0.5,2,2,1.0,1,2,3,3,1,0,1,2,29,35,1
22023,1627759,0022300859,2024-03-01,BOS vs. DAL,W,31,11,20,0.55,2,5,0.4,1,1,1.0,1,6,7,5,1,0,0,3,25,16,1
22023,1627759,0022300836,2024-02-27,BOS vs. PHI,W,35,11,14,0.786,1,2,0.5,8,10,0.8,1,5,6,1,1,0,4,4,31,25,1
22023,1627759,0022300816,2024-02-24,BOS @ NYK,W,35,13,24,0.542,3,9,0.333,1,3,0.333,0,8,8,3,1,0,0,2,30,15,1
22023,1627759,0022300797,2024-02-22,BOS @ CHI,W,33,7,12,0.583,3,5,0.6,4,6,0.667,0,5,5,5,1,1,2,2,21,19,1
22023,1627759,0022300771,2024-02-13,BOS @ BKN,W,37,7,19,0.368,1,6,0.167,4,6,0.667,1,0,1,4,1,0,4,5,19,9,1
22023,1627759,0022300759,2024-02-11,BOS @ MIA,W,37,8,16,0.5,3,8,0.375,1,4,0.25,3,6,9,2,0,0,6,1,20,3,1
22023,1627759,0022300743,2024-02-09,BOS vs. WAS,W,35,9,15,0.6,0,1,0.0,0,0,0.0,1,6,7,3,1,0,3,3,18,-15,1
22023,1627759,0022300729,2024-02-07,BOS vs. ATL,W,34,7,11,0.636,0,2,0.0,1,1,1.0,0,6,6,6,1,0,2,4,15,-3,1
22023,1627759,0022300684,2024-02-01,BOS vs. LAL,L,27,4,12,0.333,0,3,0.0,0,0,0.0,3,5,8,7,1,0,3,5,8,-20,1
22023,1627759,0022300670,2024-01-30,BOS vs. IND,W,36,9,15,0.6,0,3,0.0,7,8,0.875,2,4,6,2,2,0,0,0,25,-6,1
