SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
42023,1628401,0042300304,2024-05-27,BOS @ IND,W,42,7,14,0.5,2,9,0.222,0,0,0.0,1,3,4,4,5,3,0,3,16,5,1
42023,1628401,0042300303,2024-05-25,BOS @ IND,W,35,3,11,0.273,2,8,0.25,5,6,0.833,1,4,5,7,0,4,0,4,13,4,1
42023,1628401,0042300302,2024-05-23,BOS vs. IND,W,36,8,15,0.533,4,8,0.5,3,3,1.0,2,2,4,6,1,1,0,4,23,11,1
42023,1628401,0042300301,2024-05-21,BOS vs. IND,W,42,5,13,0.385,3,8,0.375,2,2,1.0,2,4,6,9,2,1,2,3,15,12,1
42023,1628401,0042300205,2024-05-15,BOS vs. CLE,W,36,7,17,0.412,4,9,0.444,0,0,0.0,1,4,5,6,0,2,0,4,18,17,1
42023,1628401,0042300204,2024-05-13,BOS @ CLE,W,30,1,6,0.167,1,4,0.25,2,2,1.0,1,6,7,3,1,0,0,2,5,5,1
42023,1628401,0042300203,2024-05-11,BOS @ CLE,W,37,4,13,0.308,3,8,0.375,1,1,1.0,0,3,3,3,1,1,1,1,12,13,1
42023,1628401,0042300202,2024-05-09,BOS vs. CLE,L,30,3,11,0.273,1,8,0.125,3,4,0.75,0,4,4,5,0,1,1,3,10,-27,1
42023,1628401,0042300201,2024-05-07,BOS vs. CLE,W,33,9,16,0.563,7,12,0.583,0,0,0.0,0,1,1,5,0,0,0,1,25,6,1
42023,1628401,0042300105,2024-05-01,BOS vs. MIA,W,29,8,13,0.615,5,10,0.5,4,5,0.8,0,5,5,2,1,0,1,2,25,17,1
42023,1628401,0042300104,2024-04-29,BOS @ MIA,W,41,15,26,0.577,8,15,0.533,0,0,0.0,1,3,4,3,0,3,1,3,38,10,1
42023,1628401,0042300103,2024-04-27,BOS @ MIA,W,31,7,14,0.5,2,7,0.286,0,0,0.0,3,2,5,3,0,0,0,0,16,7,1
42023,1628401,0042300102,2024-04-24,BOS vs. MIA,L,36,5,8,0.625,2,4,0.5,1,1,1.0,0,1,1,4,1,1,1,2,13,-23,1
42023,1628401,0042300101,2024-04-21,BOS vs. MIA,W,33,6,10,0.6,4,8,0.5,4,4,1.0,0,3,3,4,0,1,3,1,20,24,1
22023,1628401,0022301167,2024-04-11,BOS vs. NYK,L,29,1,5,0.2,0,3,0.0,0,0,0.0,0,2,2,2,1,1,1,3,2,-29,1
22023,1628401,0022301148,2024-04-09,BOS @ MIL,L,31,3,10,0.3,3,9,0.333,0,0,0.0,1,3,4,3,2,0,1,1,9,-11,1
22023,1628401,0022301134,2024-04-07,BOS vs. POR,W,31,5,13,0.385,3,10,0.3,2,2,1.0,0,1,1,9,1,0,2,1,15,2,1
22023,1628401,0022301105,2024-04-03,BOS vs. OKC,W,31,2,5,0.4,2,4,0.5,2,2,1.0,0,1,1,6,1,1,0,4,8,13,1
22023,1628401,0022301087,2024-04-01,BOS @ CHA,W,36,7,15,0.467,4,10,0.4,1,1,1.0,2,7,9,5,0,1,2,3,19,13,1
22023,1628401,0022301074,2024-03-30,BOS @ NOP,W,32,5,9,0.556,3,7,0.429,2,2,1.0,1,2,3,3,0,0,0,1,15,9,1
22023,1628401,0022301060,2024-03-28,BOS @ ATL,L,41,8,11,0.727,5,6,0.833,1,1,1.0,2,5,7,5,1,0,3,3,22,3,1
22023,1628401,0022301023,2024-03-23,BOS @ CHI,W,38,6,14,0.429,3,11,0.273,2,3,0.667,0,3,3,6,1,0,1,1,17,8,1
22023,1628401,0022301011,2024-03-22,BOS @ DET,W,36,5,14,0.357,1,7,0.143,8,9,0.889,2,6,8,11,0,1,1,1,19,23,1
22023,1628401,0022300998,2024-03-20,BOS vs. MIL,W,37,8,17,0.471,4,11,0.364,3,3,1.0,0,5,5,8,0,2,0,5,23,-7,1
22023,1628401,0022300984,2024-03-18,BOS vs. DET,W,37,8,20,0.4,6,12,0.5,0,0,0.0,0,10,10,10,2,1,3,0,22,17,1
22023,1628401,0022300955,2024-03-14,BOS vs. PHX,W,33,5,13,0.385,3,9,0.333,0,0,0.0,1,7,8,5,2,1,0,1,13,8,1
22023,1628401,0022300943,2024-03-12,BOS @ UTA,W,35,8,17,0.471,7,11,0.636,1,1,1.0,0,6,6,3,1,3,3,3,24,15,1
22023,1628401,0022300938,2024-03-11,BOS @ POR,W,34,5,14,0.357,1,5,0.2,0,0,0.0,2,4,6,5,2,3,1,3,11,12,1
22023,1628401,0022300920,2024-03-09,BOS @ PHX,W,35,5,8,0.625,0,3,0.0,0,0,0.0,2,3,5,9,0,1,2,3,10,1,1
22023,1628401,0022300906,2024-03-07,BOS @ DEN,L,37,3,8,0.375,0,4,0.0,1,1,1.0,1,4,5,6,1,1,1,4,7,-2,1
22023,1628401,0022300886,2024-03-05,BOS @ CLE,L,35,1,5,0.2,0,2,0.0,1,1,1.0,2,4,6,7,0,4,2,0,3,4,1
22023,1628401,0022300872,2024-03-03,BOS vs. GSW,W,20,5,6,0.833,4,5,0.8,0,0,0.0,0,3,3,8,1,0,0,1,14,36,1
22023,1628401,0022300859,2024-03-01,BOS vs. DAL,W,32,5,10,0.5,3,6,0.5,0,0,0.0,1,6,7,8,1,2,2,2,13,21,1
22023,1628401,0022300836,2024-02-27,BOS vs. PHI,W,30,2,6,0.333,0,2,0.0,2,2,1.0,0,6,6,6,2,3,2,0,6,31,1
22023,1628401,0022300816,2024-02-24,BOS @ NYK,W,32,5,8,0.625,3,5,0.6,0,0,0.0,1,2,3,6,2,0,0,1,13,7,1
22023,1628401,0022300797,2024-02-22,BOS @ CHI,W,33,9,14,0.643,5,10,0.5,5,5,1.0,0,3,3,5,2,3,2,1,28,15,1
22023,1628401,0022300780,2024-02-14,BOS vs. BKN,W,28,10,16,0.625,5,10,0.5,2,2,1.0,0,5,5,4,1,0,2,2,27,44,1
22023,1628401,0022300771,2024-02-13,BOS @ BKN,W,38,6,11,0.545,3,6,0.5,1,1,1.0,0,2,2,3,0,0,2,1,16,6,1
22023,1628401,0022300759,2024-02-11,BOS @ MIA,W,38,3,9,0.333,0,5,0.0,0,0,0.0,0,2,2,4,0,1,1,2,6,6,1
22023,1628401,0022300743,2024-02-09,BOS vs. WAS,W,33,2,6,0.333,0,4,0.0,0,0,0.0,0,2,2,6,3,1,3,4,4,-3,1
22023,1628401,0022300729,2024-02-07,BOS vs. ATL,W,35,8,14,0.571,5,10,0.5,0,0,0.0,1,5,6,7,1,1,2,2,21,0,1
22023,1628401,0022300706,2024-02-04,BOS vs. MEM,W,28,5,10,0.5,4,8,0.5,1,2,0.5,1,2,3,3,1,1,1,1,15,27,1
22023,1628401,0022300684,2024-02-01,BOS vs. LAL,L,33,4,11,0.364,1,5,0.2,0,0,0.0,1,3,4,6,0,2,2,3,9,-19,1
22023,1628401,0022300670,2024-01-30,BOS vs. IND,W,35,8,16,0.5,4,7,0.571,4,4,1.0,0,2,2,5,1,1,0,2,24,-4,1
22023,1628401,0022300659,2024-01-29,BOS vs. NOP,W,35,6,14,0.429,4,10,0.4,1,2,0.5,0,1,1,4,1,1,1,2,17,7,1
22023,1628401,0022300646,2024-01-27,BOS vs. LAC,L,24,0,8,0.0,0,4,0.0,2,2,1.0,0,2,2,2,0,3,1,2,2,-22,1
22023,1628401,0022300630,2024-01-25,BOS @ MIA,W,29,6,12,0.5,3,9,0.333,0,0,0.0,2,4,6,6,0,2,1,0,15,24,1
22023,1628401,0022300611,2024-01-22,BOS @ DAL,W,34,2,12,0.167,1,7,0.143,1,2,0.5,0,4,4,1,2,1,1,3,6,-11,1
22023,1628401,0022300603,2024-01-21,BOS @ HOU,W,36,9,19,0.474,3,8,0.375,0,0,0.0,2,9,11,3,0,2,3,2,21,13,1
22023,1628401,0022300586,2024-01-19,BOS vs. DEN,L,36,9,18,0.5,5,12,0.417,1,1,1.0,1,2,3,5,2,1,1,3,24,-2,1
22023,1628401,0022300563,2024-01-15,BOS @ TOR,W,37,7,18,0.389,5,11,0.455,3,3,1.0,0,2,2,1,0,0,3,1,22,-8,1
22023,1628401,0022300542,2024-01-13,BOS vs. HOU,W,25,5,9,0.556,3,5,0.6,0,0,0.0,1,2,3,5,2,0,0,1,13,29,1
22023,1628401,0022300528,2024-01-11,BOS @ MIL,L,18,1,4,0.25,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,-14,1
22023,1628401,0022300517,2024-01-10,BOS vs. MIN,W,43,3,11,0.273,1,5,0.2,2,2,1.0,2,4,6,6,0,0,2,5,9,11,1
22023,1628401,0022300507,2024-01-08,BOS @ IND,L,36,4,16,0.25,2,8,0.25,3,3,1.0,0,4,4,6,0,2,1,3,13,-2,1
22023,1628401,0022300493,2024-01-06,BOS @ IND,W,24,3,6,0.5,1,2,0.5,0,0,0.0,0,5,5,2,0,1,4,5,7,20,1
22023,1628401,0022300479,2024-01-05,BOS vs. UTA,W,26,3,9,0.333,2,7,0.286,2,2,1.0,0,7,7,3,1,1,0,2,10,19,1
22023,1628401,0022300462,2024-01-02,BOS @ OKC,L,29,7,12,0.583,5,9,0.556,0,0,0.0,0,5,5,6,1,1,2,4,19,5,1
22023,1628401,0022300448,2023-12-31,BOS @ SAS,W,26,7,11,0.636,3,6,0.5,0,0,0.0,1,2,3,5,0,0,0,1,17,24,1
22023,1628401,0022300432,2023-12-29,BOS vs. TOR,W,36,5,19,0.263,2,10,0.2,9,9,1.0,1,4,5,7,3,2,3,2,21,7,1
