SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
42023,1629029,0042300315,2024-05-30,DAL @ MIN,W,37,14,22,0.636,6,10,0.6,2,3,0.667,0,10,10,5,2,0,4,2,36,22,1
42023,1629029,0042300314,2024-05-28,DAL vs. MIN,L,41,7,21,0.333,4,11,0.364,10,12,0.833,2,13,15,10,1,0,3,4,28,-13,1
42023,1629029,0042300313,2024-05-26,DAL vs. MIN,W,41,10,20,0.5,5,11,0.455,8,10,0.8,1,6,7,5,5,1,3,2,33,6,1
42023,1629029,0042300312,2024-05-24,DAL @ MIN,W,41,10,23,0.435,5,11,0.455,7,7,1.0,1,9,10,13,0,0,4,0,32,6,1
42023,1629029,0042300311,2024-05-22,DAL @ MIN,W,41,12,26,0.462,3,10,0.3,6,7,0.857,0,6,6,8,3,1,4,2,33,-9,1
42023,1629029,0042300226,2024-05-18,DAL vs. OKC,W,45,9,15,0.6,4,6,0.667,7,7,1.0,0,10,10,10,2,0,7,4,29,7,1
42023,1629029,0042300225,2024-05-15,DAL @ OKC,W,41,12,22,0.545,5,11,0.455,2,3,0.667,0,10,10,11,0,1,3,3,31,13,1
42023,1629029,0042300224,2024-05-13,DAL vs. OKC,L,42,6,20,0.3,2,9,0.222,4,6,0.667,1,11,12,10,2,1,7,4,18,1,1
42023,1629029,0042300223,2024-05-11,DAL vs. OKC,W,40,7,17,0.412,1,4,0.25,7,10,0.7,3,12,15,5,2,0,4,1,22,3,1
42023,1629029,0042300222,2024-05-09,DAL @ OKC,W,41,11,21,0.524,5,8,0.625,2,2,1.0,0,10,10,7,3,1,1,0,29,6,1
42023,1629029,0042300221,2024-05-07,DAL @ OKC,L,41,6,19,0.316,1,8,0.125,6,10,0.6,0,6,6,9,2,0,5,0,19,-21,1
42023,1629029,0042300176,2024-05-03,DAL vs. LAC,W,43,9,26,0.346,1,10,0.1,9,11,0.818,1,6,7,13,1,1,5,5,28,9,1
42023,1629029,0042300175,2024-05-01,DAL @ LAC,W,39,14,26,0.538,2,8,0.25,5,5,1.0,1,6,7,10,1,0,2,4,35,28,1
42023,1629029,0042300174,2024-04-28,DAL vs. LAC,L,45,10,24,0.417,1,9,0.111,8,10,0.8,4,6,10,10,0,1,3,5,29,8,1
42023,1629029,0042300173,2024-04-26,DAL vs. LAC,W,40,7,25,0.28,3,14,0.214,5,7,0.714,1,9,10,9,2,0,5,2,22,11,1
42023,1629029,0042300172,2024-04-23,DAL @ LAC,W,46,11,26,0.423,5,14,0.357,5,6,0.833,0,6,6,9,1,1,3,3,32,8,1
42023,1629029,0042300171,2024-04-21,DAL @ LAC,L,42,11,26,0.423,4,12,0.333,7,8,0.875,1,12,13,6,1,0,4,1,33,3,1
22023,1629029,0022301161,2024-04-10,DAL @ MIA,W,36,9,23,0.391,4,15,0.267,7,8,0.875,1,8,9,9,0,0,3,4,29,7,1
22023,1629029,0022301144,2024-04-09,DAL @ CHA,W,35,13,25,0.52,8,17,0.471,5,7,0.714,2,10,12,10,0,1,4,2,39,22,1
22023,1629029,0022301131,2024-04-07,DAL vs. HOU,W,45,12,21,0.571,4,10,0.4,9,9,1.0,2,7,9,12,0,2,7,5,37,20,1
22023,1629029,0022301124,2024-04-04,DAL vs. ATL,W,37,8,25,0.32,6,15,0.4,3,3,1.0,0,12,12,8,2,1,5,3,25,21,1
22023,1629029,0022300589,2024-04-02,DAL @ GSW,L,39,11,22,0.5,5,11,0.455,3,4,0.75,1,11,12,11,0,0,5,1,30,9,1
22023,1629029,0022301083,2024-03-31,DAL @ HOU,W,35,18,30,0.6,9,16,0.563,2,5,0.4,0,12,12,7,2,0,4,1,47,12,1
22023,1629029,0022301073,2024-03-29,DAL @ SAC,W,41,6,14,0.429,4,8,0.5,10,14,0.714,0,9,9,12,2,0,5,2,26,6,1
22023,1629029,0022301047,2024-03-26,DAL @ SAC,W,32,10,18,0.556,4,8,0.5,4,5,0.8,1,10,11,6,2,0,4,4,28,18,1
22023,1629029,0022301041,2024-03-25,DAL @ UTA,W,41,10,24,0.417,2,11,0.182,7,8,0.875,2,10,12,13,1,1,4,3,29,10,1
22023,1629029,0022301008,2024-03-21,DAL vs. UTA,W,35,11,23,0.478,4,10,0.4,8,12,0.667,1,8,9,8,4,0,4,2,34,-3,1
22023,1629029,0022300994,2024-03-19,DAL @ SAS,W,40,6,27,0.222,2,12,0.167,4,5,0.8,0,10,10,16,1,0,4,0,18,5,1
22023,1629029,0022300978,2024-03-17,DAL vs. DEN,W,40,12,27,0.444,5,11,0.455,8,10,0.8,4,6,10,3,2,0,3,3,37,-1,1
22023,1629029,0022300952,2024-03-13,DAL vs. GSW,W,30,7,18,0.389,1,6,0.167,6,8,0.75,1,2,3,9,0,0,6,0,21,14,1
22023,1629029,0022300935,2024-03-11,DAL @ CHI,W,34,9,23,0.391,6,15,0.4,3,4,0.75,2,10,12,14,1,0,2,2,27,34,1
22023,1629029,0022300919,2024-03-09,DAL @ DET,W,37,13,24,0.542,4,13,0.308,9,10,0.9,0,10,10,10,3,2,6,1,39,13,1
22023,1629029,0022300904,2024-03-07,DAL vs. MIA,W,40,12,24,0.5,7,13,0.538,4,4,1.0,0,11,11,11,1,0,4,2,35,11,1
22023,1629029,0022300892,2024-03-05,DAL vs. IND,L,43,15,30,0.5,4,13,0.308,5,6,0.833,0,10,10,11,0,0,5,4,39,-18,1
22023,1629029,0022300871,2024-03-03,DAL vs. PHI,L,40,14,27,0.519,4,10,0.4,6,6,1.0,2,9,11,10,1,0,7,2,38,9,1
